DestName,subtype,rating,lang,textwithrating1,textwithrating2,textwithrating3,textwithrating4,textwithrating5,webUrl,longitude,latitude,phone,address,website,numberOfReviews
Masjid Taneem,Sacred & Religious Sites,4.5,fr,,,"Je pensais aussi effectivement qu’il était possible d’y débuter une seconde Omra (pour ceux qui était déjà à Makkah). Apparemment, c’est une bidaa (innovation), il vaut mieux aller au Miqat de Jeddah pour ceux qui ont les moyens... (renseignez-vous via des Fatwas établies, source Ibn Taymiyyah Rahimahu Llah)
Qu’Allah accepte nos oeuvres, qu’ils soient conforment à la Sunnah !","مسجد التنعيم أو مسجد السيدة عائشة أحد مساجد مكة، ومنه يحرم أهل مكة للحج والعمرة، وايضا لمن أراد ان يعتمر مرة اخرى فينويها لوالديه  او قريب او صديق 
اكتسب شهرته من كونه بُني في الموضع الذي أحرمت منه أم المؤمنين عائشة بنت أبي بكر بالعمرة في حجة الوداع سنة 9 للهجرة.","Alhamdulillah bisa bener-bener menginjakan kaki di masjid taneem atau Masjid Siti Aisyah, disini lah mulai berlaku miqat atau niat umroh ",https://www.tripadvisor.com/Attraction_Review-g293993-d2296346-Reviews-Masjid_Taneem-Mecca_Makkah_Province.html,39.825737,21.42288,,"Al Hil, Mecca Saudi Arabia",,276
Al Masmak Fortress,Historic Sites,4.5,en,We were exited to visit the fortress unfortunately it was closed for maintenance. Trip advisor should be more accurate and reflect actual status of the facility,,"This fortress is located in the heart of the original, old city. Sadly for me it was closed for renovations. Regardless, the exterior if the building is impressive, and because the fortress has no other buildings next to it, the size is very powerful.
Well preserved, in a very interesti g part of town that needs to be seen.",Free and nice museum.  Nice historical visit before hitting the market. The staff were friendly and the exhibits were interesting.,"Historic fort in the middle of old Riyadh, and a very important site in the history of the Saudi family.  Excellent displays of historic weapons, clothing and artefacts",https://www.tripadvisor.com/Attraction_Review-g293995-d319490-Reviews-Al_Masmak_Fortress-Riyadh_Riyadh_Province.html,46.71342,24.631256,+966 11 411 0091,"6937 Al Thumairi St, Riyadh 12634 Saudi Arabia",,660
Jabal al-Nour,Mountains,4.5,en,"Hike was not that bad.
But it is disgustingly dirty with rubbish.
Full of indo, indian, Pakistani people who through their bottles and rubbish everywhere. 

The actual cave is small and people shove and push to get in. 

The path is well marked though",,trust me its tough i wouldn't go here again. it was fun to see the view but its tiring like u can't climb up but down is easy but sliperly and one slip can make u hurt or death. they had lemonade which saved us,Peygamber efendimize Peygamberlik müjdesi verilen yüce Nur dağı Arapça ismi ile ( Jabal Al Nour ) ve Hira Mağrası.,Couldn't imagine that my family and I managed to reach the highest peak of Jabal Nur. Masjidil Haram looked so bright from afar made our hair stood.This spiritual hike really made us reflected to what Rasulullah had endured during his trouble times. PEACE BE UPON HIM..,https://www.tripadvisor.com/Attraction_Review-g293993-d319521-Reviews-Jabal_al_Nour-Mecca_Makkah_Province.html,39.857132,21.456621,,Mecca 24238 Saudi Arabia,http://www.facebook.com/nationalmemorial,393
King Fahd's Fountain,Fountains,4.5,ja,,わざわざUberにのって噴水まで来たのに噴水が出ていなかった。観光ガイドに載せるのなら稼働してないなんてあってはいけない。わざわざいって下車して途方に暮れた。タクシーもなかなかこない、Uberが発券しずらいエリアなので車がつかまらず本当に困った。たまたまあったリッツカールトンに助けをもとめて、親切な対応で救われたことが唯一のポジティブな体験。,"Jeddah è una città ancora in fase di sviluppo per quanto riguarda la parte moderna e che sta tentando una ricostruzione più che una ristrutturazione della città antica,è questo non mi piace .",Es lohnt sich auf jeden Fall die Zeit auf der Corniche zu nutzen und am view point zu verweilen. Die Fontäne wird zwischen 6 pm und 11 pm betrieben und es ist ein nettes Bild wie hier die locals ein Picknick machen,The highlight of my experience in Jeddah was seeing this lit up and spurting high up in to the night sky. Absolutely incredible!,https://www.tripadvisor.com/Attraction_Review-g295419-d319519-Reviews-King_Fahd_s_Fountain-Jeddah_Makkah_Province.html,39.14505,21.515656,+966 55 182 1906,Jeddah Saudi Arabia,https://www.visitsaudi.com/en/do/family-activities/visit-king-fahd-s-fountain,1254
Safa to Marwa,Points of Interest & Landmarks,5,en,,,,History relived. Re-enactment of an incident recorded in history; the King must be praised for the excellent care taken of the pilgrims.,"Très très bien, il y a du monde comme même, peut être prévoir une paire de basket neuve pour le faire afin de ne pas avoir mal aux pieds à la fin !!!",https://www.tripadvisor.com/Attraction_Review-g293993-d4559047-Reviews-Safa_to_Marwa-Mecca_Makkah_Province.html,39.827274,21.424353,,"Masjid Al Haram, Mecca 24231 Saudi Arabia",,987
Black Stone,Points of Interest & Landmarks,5,fr,Les arabes de l'époque préislamique adoraient des pierres et tournaient autour de la Kabba ce qui était de l'idolâtrie et on continue de le faire; cherchons Dieu véritablement !,,,"Amazing to see the Kaaba. Glad with the restriction in place where no one gets close to touch the Kabaa, give reviews from past suggest men just push others in order to get to it. Wheelchair users have a closer access within a circled inner area which is great. Others have to walk around from a distance but that does not stop men from pushing others particularly women just so they can get closer to the Kaabah. Shame really because Islam teaches respect particularly towards women but culture dictates differently. Now I understand why Saudi were reluctant for women to be unaccompanied. Still I think there has to be more education to men to be more considerate to women particularly in places like this of great religious importance","يقولون عنه أنه حجر من الجنة وكان ناصع البياض وأصبح لونه اسود على مر الزمان وهو حجر الأساس في بناء الكعبة ويتدافع الحجاج والمعتمرين للسلام عليه ولمسه للتبرك وهو حجر نادر جدا لا يوجد مثله في الأرض لذلك القيمة الروحية التي يتمتع بها كبيرة جدا",https://www.tripadvisor.com/Attraction_Review-g293993-d671295-Reviews-Black_Stone-Mecca_Makkah_Province.html,39.82557,21.418053,,Mecca Saudi Arabia,,924
Mount Uhud,Mountains,4.5,en,,,,"A historical place where the Uhud battle was fought by the Prophet (peace) himself, with remnants all around! A strategic hill over which the archers were placed is open to the public, while the Masjid near by is closed due to the COVID-19 scenario and a huge burial ground of historical importance!","dans le cadre de ma visite omra 2020, j'ai pu accéder et allez visitez pour la deuxième fois jabal uhud et comme notre prophète à déja dit.
une montagne qui nous aime et que l'on aime ",https://www.tripadvisor.com/Attraction_Review-g298551-d319509-Reviews-Mount_Uhud-Medina_Al_Madinah_Province.html,39.618057,24.525768,,Medina Saudi Arabia,,574
Red Sea Mall,Shopping Malls,4.5,en,,,"This is the biggest mall of Jeddah
After being in Dubaï you find that mall quite « ordinary « 
Some really nice coffee on ground level","Um centro comercial enorme, espaçoso, luminoso e agradável.
No Verão um oásis de frescura te do em conta o calor abrasador do exterior.
Zona de restauração com muitas opções em termos de gastronomia
Para quem fica mais que 2 dias em Jeddah é, dadas os poucos locais para visitar na cidade, de passagem obrigatória ","Red Sea Mall is probably the largest and nicest shopping mall in Jeddah. It is situated in the northern part, not too far from that area of the Corniche.
Inside it is impressive. Fully air conditioned, it is very well laid out and impeccably clean and has great facilities.
It has everything you could really want, including a supermarket. There are also cinemas and it is attached to a hotel.
There is plenty of parking and the various entrances/exits are referred to as numbered gates - handy if you’re providing your location 
To a taxi company.
Many well known brands exist here. I was particularly pleased to find a huge Crate and Barrel (recently opened here)
There are also plenty of lovely coffee shops and places to eat
The shopping centre is open daily 1pm - 3am
For me it provided a great place to wander, helping me avoid the real heat of the day",https://www.tripadvisor.com/Attraction_Review-g295419-d2195533-Reviews-Red_Sea_Mall-Jeddah_Makkah_Province.html,39.111107,21.62757,+966 800 124 0322,"King Abdulaziz Road, Jeddah 21146 Saudi Arabia",,953
Kaaba,Sacred & Religious Sites,5,en,Security police is extremely rude to Haji’s specially the non arabic speaking ones. They can blame and push anyone and no one to ask. I understand their job is tough but by no means they should be rude and judge people. In an effort to touch the Holy Kaaba they would allow sisters take all the spots and if any non arab would like to be close to Kaaba the police would accuse and push them away plus would make very hurtful comments. I have decided not to do tawaf on the ground floor mataaf now.,"Kaaba is beautiful place only marred by some of the people that visit and more important the poor behavior of the guards towards people who are not Arabs. 
Have observed guards man handling individuals unnecessarily and are  very condescending and arrogant while being ignorant at the same time. They treat people as with no respect and believe they can treat visitors how they want.
On reflection they earn 8/hr so probably quality of staff and training is probably an indicator.
A very disturbing experience 
NS",,"This was my first experience to Kaaba / Makkah with disabled child age 8. Electric scooter provided by Masjid Al Haram authorities on the third floor made it easy to do tawaf and saee with child. The child was completely disabled. The Electric scooter/wheelchair is completely free for the disable person & carer. But rented for normal person with reasonable price. Double and single seat scooter are available. I decided to use the double seat and I hold the child at the same time drive the scooter. Its easy to drive. You can take the partner or assistance aswell. The staff can look after your own special chair and belonging in room, and you can take it back when you finished.
There are wheelchair friendly entrance ramps from outside Masjid Al Haram which take you straight to rental point.
Or you may ask the security/cleaning staff for the scooter hiring point.
Ouside Masjid Al Haram I found it a bit difficult to go around with disable child in her own wheelchair due to lake of wheelchair/ramp accessable vehicle. But still to keep my visit live& healthy I have hired several times 7-8 seater taxi or local drivers, in which the driver folded the back seats and we had to pick up the child inside the wheelchair to put it at the back of the car. which were obviously not comfortable at all. As the height of wheelchair and the car roof just 3-4 inches. 🥲
As my child is completely wheelchair bound, and has her own orthopedic approved wheelchair, So i can not use other chair. when we disembarked the plane in Jeddah the airport  staff refused to give our chair at the plane door, as normally travelling rest of the world they make an arrangment of our own wheelchair at the plane step. But in Saudi Arabia the supervisor mentioned that Saudi’s customs rules are different from the rest of the world 🤔, After long typical worst style argument they agreed that i hold the child and sit on one of the aiport provided wheelchair which were so small, wasn’t comfortable at all. and their staff push the chair to take the metro to the exit/luggage area, where i found my own wheelchair.
But overall the trip was good.

Before going I searched and found the detailed review on tripadvisor from
633adeelaa Granger with the title
Umrah : Tawaf and Saee with partial physically disabled parents ","Well, we planned to do the pilgrimage and we did it, it was awesome to be there and finally see the Kaaba with our own eyes, very impressive and we were very happy to be there, The only thing that I think the people that runs this place have to correct is to give training to the people that works here, I saw them talking to the visitors with no good manners, they yell to the visitors and most of them do not speak english, so those workers have to be trained on behavior towards the visitors. I give 5 stars to the visit to Kaaba... and 1 star to the workers at Kaaba.",https://www.tripadvisor.com/Attraction_Review-g293993-d10338077-Reviews-Kaaba-Mecca_Makkah_Province.html,39.826145,21.422518,,"Al Masjid Al Haram Road Masjid al Haram, Mecca 24231 Saudi Arabia",https://www.instagram.com/kabemiz/,701
Al-Balad,Points of Interest & Landmarks,4.5,it,,niente di che  come la maggior parte di cose in KSA sono estremamente deludenti viste dal vero  mi chiedo se vale davvero la pena di visitare l Arabia Saudita,"admito: erramos o horário da visita
fazia um calor quase insuportável, quase tudo fechado
deu para ver que há necessidade de restauração urgente de muitos locais para preservar
ficou um gosto de... sei lá... talvez à noite, com mais movimento, mais turistas, a impressão seja melhor","Al Balad è il quartiere storico di Jeddah, dove si possono trovere ancora dimore ed edifici antichi in buone condizioni o restaurati. E' in corso un'opera di riqualificazione e valorizzazione. Muoversi nel quartiere è assolutamente sicuro, anche la sera. Ci sono dei tour guidati ma si può fare tranquillamente sé.
Suggerisco di farsi portare con il taxi presso una delle antiche porte, ad esempio la Baab Makkah, e da lì costruirsi un tour a piedi che preveda la visita alle case storiche (Matbouli House, Nassif House, Sharbatly House) della Al Ma’amar Mosque e dell'adiacente Souq Al Alawi. Grazioso anche l'edificio dell'Historical Nights Cafè, di cui non so recensire la ristorazione non avendo consumato. Tardo pomeriggio e sera il momento migliore per la visita, sia per le teperature sia per la possibilità di assaggiare lo street food locale, molto interessante e difficile da trovare in altro modo, visto che la gran parte dei ristoranti della città sono fast food o di cucina estera. 
Nonostante i tanti visitatori, turisti e locali, non abbiamo avuto difficoltà a reperire una corsa per il rientro con la app Kareem (che in città funziona meglio di Uber). In alternativa sono numerosi i taxi.","Exploring this remarkable destination is an enriching experience, as its captivating charm and historical significance make it undeniably a wonderful place that is truly worth visiting.",https://www.tripadvisor.com/Attraction_Review-g295419-d319501-Reviews-Al_Balad-Jeddah_Makkah_Province.html,39.187298,21.481157,,Jeddah 22233 Saudi Arabia,,1104
